Latitude,Longitude,Flood depth (m)
26.186,91.761,0.000340939
26.162,91.752,0.000374232
26.163,91.752,0.000374232
26.143,91.772,0.000449703
26.154,91.75,0.000500357
26.112,91.798,0.000676599
26.113,91.797,0.000676599
26.167,91.736,0.000769923
26.167,91.788,0.000878059
26.111,91.798,0.001029196
26.188,91.761,0.001194004
26.187,91.761,0.001294869
26.113,91.798,0.001344303
26.136,91.766,0.001574196
26.155,91.75,0.001602695
26.111,91.799,0.00169449
26.188,91.76,0.001720851
26.149,91.731,0.002025226
26.147,91.731,0.002025226
26.186,91.762,0.002052801
26.168,91.757,0.002065695
26.168,91.758,0.002065695
26.182,91.775,0.002083178
26.124,91.815,0.002234142
26.175,91.803,0.002263256
26.117,91.739,0.002291677
26.195,91.757,0.002392883
26.192,91.758,0.002394675
26.188,91.759,0.002394678
26.193,91.755,0.002394679
26.192,91.757,0.002394679
26.191,91.758,0.00239468
26.192,91.755,0.00239468
26.192,91.756,0.002394681
26.191,91.757,0.002394681
26.189,91.758,0.002394681
26.19,91.758,0.002394682
26.19,91.757,0.002394682
26.191,91.752,0.002394682
26.191,91.756,0.002394682
26.191,91.754,0.002394683
26.189,91.751,0.002394683
26.191,91.753,0.002394683
26.19,91.753,0.002394684
26.191,91.755,0.002394684
26.19,91.755,0.002394684
26.188,91.751,0.002394685
26.189,91.752,0.002394686
26.188,91.752,0.002394686
26.193,91.754,0.002395254
26.188,91.75,0.002395264
26.188,91.749,0.002395265
26.192,91.751,0.002395837
26.194,91.757,0.002396374
26.196,91.758,0.002396396
26.193,91.753,0.002396397
26.192,91.753,0.002396403
26.192,91.752,0.002396404
26.191,91.751,0.002396417
26.191,91.75,0.002396426
26.191,91.749,0.002396428
26.189,91.749,0.002396428
26.19,91.751,0.002396428
26.12,91.8,0.002554101
26.133,91.76,0.002582951
26.175,91.802,0.002735414
26.176,91.796,0.002763816
26.151,91.75,0.002819784
26.176,91.802,0.003043847
26.176,91.787,0.003072968
26.143,91.771,0.00313155
